aerodromo,periodo,qtde_ocorr,perc_ocorr
SDBB,12:00 às 18:00,4,0.04
SWFR,18:00 às 00:00,4,0.04
SDIM,12:00 às 18:00,4,0.04
SBRD,12:00 às 18:00,4,0.04
SBPS,18:00 às 00:00,4,0.04
SBVC,12:00 às 18:00,4,0.04
SDRK,18:00 às 00:00,4,0.04
SBPF,18:00 às 00:00,4,0.04
SDOW,12:00 às 18:00,4,0.04
SSNG,12:00 às 18:00,4,0.04
SBPR,06:00 às 12:00,4,0.04
SBPL,18:00 às 00:00,4,0.04
SBUR,00:00 às 06:00,4,0.04
SBPL,12:00 às 18:00,4,0.04
SDIH,00:00 às 06:00,4,0.04
SBPL,00:00 às 06:00,4,0.04
SBCX,00:00 às 06:00,4,0.04
SBGW,12:00 às 18:00,4,0.04
SBMK,00:00 às 06:00,4,0.04
SBMO,00:00 às 06:00,4,0.04
SSBN,18:00 às 00:00,4,0.04
SWUZ,12:00 às 18:00,4,0.04
SBML,00:00 às 06:00,4,0.04
SBIL,12:00 às 18:00,4,0.04
SBCB,06:00 às 12:00,4,0.04
SNPA,06:00 às 12:00,4,0.04
SBBV,00:00 às 06:00,4,0.04
SWTS,12:00 às 18:00,4,0.04
SBJP,00:00 às 06:00,4,0.04
SBDN,18:00 às 00:00,4,0.04
SBCA,06:00 às 12:00,4,0.04
SBJP,18:00 às 00:00,4,0.04
SBCG,06:00 às 12:00,4,0.04
SWKO,12:00 às 18:00,3,0.03
SWPY,12:00 às 18:00,3,0.03
SBSR,12:00 às 18:00,3,0.03
SBIH,18:00 às 00:00,3,0.03
SDTF,00:00 às 06:00,3,0.03
SBIH,12:00 às 18:00,3,0.03
SDTB,00:00 às 06:00,3,0.03
SDUB,18:00 às 00:00,3,0.03
SBIP,12:00 às 18:00,3,0.03
SBNT,18:00 às 00:00,3,0.03
SBIZ,00:00 às 06:00,3,0.03
SBHT,18:00 às 00:00,3,0.03
SWPI,00:00 às 06:00,3,0.03
SBJA,18:00 às 00:00,3,0.03
SBSL,06:00 às 12:00,3,0.03
SBJA,12:00 às 18:00,3,0.03
SBJC,18:00 às 00:00,3,0.03
SBJC,06:00 às 12:00,3,0.03
SJNP,12:00 às 18:00,3,0.03
SWPI,18:00 às 00:00,3,0.03
SDVI,12:00 às 18:00,3,0.03
SBSI,00:00 às 06:00,3,0.03
SBSG,00:00 às 06:00,3,0.03
SBSG,12:00 às 18:00,3,0.03
SDVG,18:00 às 00:00,3,0.03
SDPY,18:00 às 00:00,3,0.03
SBGW,18:00 às 00:00,3,0.03
SDIO,00:00 às 06:00,3,0.03
SBCZ,12:00 às 18:00,3,0.03
SDCO,06:00 às 12:00,3,0.03
SBDN,06:00 às 12:00,3,0.03
SBDN,00:00 às 06:00,3,0.03
SNJO,18:00 às 00:00,3,0.03
SNHH,12:00 às 18:00,3,0.03
SDET,18:00 às 00:00,3,0.03
SWEK,12:00 às 18:00,3,0.03
SWCA,00:00 às 06:00,3,0.03
SNPA,12:00 às 18:00,3,0.03
SBZM,12:00 às 18:00,3,0.03
SDIO,18:00 às 00:00,3,0.03
SDIO,12:00 às 18:00,3,0.03
SBVC,06:00 às 12:00,3,0.03
SBTF,00:00 às 06:00,3,0.03
SBCJ,18:00 às 00:00,3,0.03
SBUY,00:00 às 06:00,3,0.03
SDLL,12:00 às 18:00,3,0.03
SDMC,00:00 às 06:00,3,0.03
SSSC,12:00 às 18:00,3,0.03
SWIT,12:00 às 18:00,3,0.03
SBCB,18:00 às 00:00,3,0.03
SBTT,12:00 às 18:00,3,0.03
SBTT,18:00 às 00:00,3,0.03
SNDC,12:00 às 18:00,3,0.03
SWRD,18:00 às 00:00,3,0.03
SSOG,12:00 às 18:00,3,0.03
SDRK,12:00 às 18:00,3,0.03
SBJI,18:00 às 00:00,3,0.03
SBAT,18:00 às 00:00,3,0.03
SBPJ,06:00 às 12:00,3,0.03
SBJU,06:00 às 12:00,3,0.03
SSJN,00:00 às 06:00,3,0.03
SSKZ,12:00 às 18:00,3,0.03
SWUZ,06:00 às 12:00,3,0.03
SBBP,06:00 às 12:00,3,0.03
SBMO,06:00 às 12:00,3,0.03
SISY,12:00 às 18:00,3,0.03
SBNM,18:00 às 00:00,3,0.03
SSER,18:00 às 00:00,3,0.03
SBMK,18:00 às 00:00,3,0.03
SIBH,12:00 às 18:00,3,0.03
SWLV,06:00 às 12:00,3,0.03
SBBU,00:00 às 06:00,3,0.03
SSBL,00:00 às 06:00,3,0.03
SBPP,12:00 às 18:00,3,0.03
SBPK,00:00 às 06:00,3,0.03
SSNH,18:00 às 00:00,3,0.03
SBPF,00:00 às 06:00,3,0.03
SBJU,18:00 às 00:00,3,0.03
SWNO,00:00 às 06:00,3,0.03
SBAR,00:00 às 06:00,3,0.03
SBAR,06:00 às 12:00,3,0.03
SSKK,12:00 às 18:00,3,0.03
SSKG,06:00 às 12:00,2,0.02
SNEM,06:00 às 12:00,2,0.02
